case_id,hit,precision,recall,gt,pred,case_query
case_4101,0,0.0,0.0,"[{""law_id"": ""91/2015/QH13"", ""aid"": 53354}, {""law_id"": ""91/2015/QH13"", ""aid"": 53328}, {""law_id"": ""91/2015/QH13"", ""aid"": 53360}, {""law_id"": ""91/2015/QH13"", ""aid"": 53373}, {""law_id"": ""92/2015/QH13"", ""aid"": 50822}, {""law_id"": ""92/2015/QH13"", ""aid"": 50823}]","[{""law_id"": ""50/2014/QH13"", ""aid"": 57108}, {""law_id"": ""37/2015/NĐ-CP"", ""aid"": 4081}, {""law_id"": ""100/2015/QH13"", ""aid"": 56447}, {""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""92/2015/QH13"", ""aid"": 50705}, {""law_id"": ""50/2014/QH13"", ""aid"": 57075}, {""law_id"": ""92/2015/QH13"", ""aid"": 50857}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13611}]","Chị Lê Thị T khởi kiện anh Chử Lương D và chị Đỗ Thị Thanh T về tranh chấp bồi thường thiệt hại ngoài hợp đồng do chó nhà bị thả rông đuổi cắn làm chị T ngã xe, gây hư hỏng xe máy và chấn thương. Chị T yêu cầu bồi thường chi phí sửa xe máy và viện phí ngoại trú. Agent dự đoán ai được chấp nhận yêu cầu?"
case_4337,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50973}, {""law_id"": ""91/2015/QH13"", ""aid"": 52901}, {""law_id"": ""91/2015/QH13"", ""aid"": 52943}, {""law_id"": ""91/2015/QH13"", ""aid"": 53191}, {""law_id"": ""91/2015/QH13"", ""aid"": 52967}, {""law_id"": ""91/2015/QH13"", ""aid"": 52969}, {""law_id"": ""91/2015/QH13"", ""aid"": 52991}]","[{""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""45/2013/QH13"", ""aid"": 56048}, {""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""45/2013/QH13"", ""aid"": 56052}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""45/2013/QH13"", ""aid"": 56049}, {""law_id"": ""45/2013/QH13"", ""aid"": 56056}, {""law_id"": ""45/2013/QH13"", ""aid"": 56152}]","Bà Tô Thị O và bà Tô Thị K tranh chấp quyền sử dụng đất và quyền sở hữu nhà đối với diện tích 207,7m2 thuộc thửa 414, tờ bản đồ số 3. Bà O yêu cầu hủy giấy chứng nhận quyền sử dụng đất đứng tên bà K và buộc bà K trả nhà đất lại. Agent dự đoán: nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_4588,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""92/2015/QH13"", ""aid"": 50700}, {""law_id"": ""92/2015/QH13"", ""aid"": 50702}, {""law_id"": ""92/2015/QH13"", ""aid"": 50704}, {""law_id"": ""92/2015/QH13"", ""aid"": 50850}, {""law_id"": ""91/2015/QH13"", ""aid"": 52994}, {""law_id"": ""91/2015/QH13"", ""aid"": 53075}, {""law_id"": ""91/2015/QH13"", ""aid"": 53401}, {""law_id"": ""91/2015/QH13"", ""aid"": 53415}, {""law_id"": ""26/2008/QH12"", ""aid"": 5267}, {""law_id"": ""26/2008/QH12"", ""aid"": 5271}, {""law_id"": ""26/2008/QH12"", ""aid"": 5272}, {""law_id"": ""26/2008/QH12"", ""aid"": 5274}, {""law_id"": ""26/2008/QH12"", ""aid"": 5295}]","[{""law_id"": ""52/2014/QH13"", ""aid"": 53875}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""91/2015/QH13"", ""aid"": 53429}, {""law_id"": ""91/2015/QH13"", ""aid"": 53431}, {""law_id"": ""91/2015/QH13"", ""aid"": 53412}, {""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""52/2014/QH13"", ""aid"": 53938}]","Ông NVP và bà NNS tranh chấp về thừa kế, chia di sản và tài sản chung đối với căn nhà 161G BVĐ, Phường 6, Quận 4, TP Hồ Chí Minh; di sản là ½ giá trị căn nhà do cha mẹ để lại chưa chia, có di chúc ngày 22/5/2006. Nguyên đơn yêu cầu chia đều giá trị di sản cho 10 anh chị em, theo giá trị. Agent dự đoán nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_4616,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50695}, {""law_id"": ""91/2015/QH13"", ""aid"": 52892}]","[{""law_id"": ""47/2010/QH12"", ""aid"": 273}, {""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""47/2010/QH12"", ""aid"": 399}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""45/2013/QH13"", ""aid"": 56160}, {""law_id"": ""47/2010/QH12"", ""aid"": 372}, {""law_id"": ""37/2015/NĐ-CP"", ""aid"": 4084}, {""law_id"": ""92/2015/QH13"", ""aid"": 50857}]","Ngân hàng B khởi kiện Công ty TNHH Thương mại và Xuất nhập khẩu H tranh chấp hợp đồng tín dụng; đồng thời yêu cầu Công ty TNHH Đầu tư K và ông Lam Wing C thực hiện nghĩa vụ bảo lãnh, thế chấp. Ngân hàng đòi khoản nợ gốc, lãi và yêu cầu phát mại các tài sản bảo đảm là quyền sử dụng đất, các căn chung cư. Nguyên đơn có khả năng thắng kiện hay không?"
case_6616,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""91/2015/QH13"", ""aid"": 52779}, {""law_id"": ""52/2014/QH13"", ""aid"": 53905}, {""law_id"": ""60/2014/QH13"", ""aid"": 3468}, {""law_id"": ""45/2013/QH13"", ""aid"": 55951}, {""law_id"": ""45/2013/QH13"", ""aid"": 56050}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13611}]","[{""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""45/2013/QH13"", ""aid"": 56015}, {""law_id"": ""45/2013/QH13"", ""aid"": 56129}, {""law_id"": ""45/2013/QH13"", ""aid"": 56136}, {""law_id"": ""45/2013/QH13"", ""aid"": 56049}, {""law_id"": ""45/2013/QH13"", ""aid"": 56117}]","Ông Nguyễn Văn H kiện cụ Trần Thị Đ và các đồng thừa kế về tranh chấp thừa kế theo pháp luật. Di sản gồm quyền sử dụng đất ở tại thửa 20, thửa 107 (tờ bản đồ số 4) và số tiền Nhà nước bồi thường, lãi phát sinh từ việc thu hồi đất. Ông H yêu cầu chia di sản cho các đồng thừa kế. Agent dự đoán nguyên đơn thắng hay bị đơn thắng?"
case_5226,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""91/2015/QH13"", ""aid"": 52886}]","[{""law_id"": ""47/2010/QH12"", ""aid"": 273}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""66/2014/QH13"", ""aid"": 895}, {""law_id"": ""26/2008/QH12"", ""aid"": 5378}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}]","Ngân hàng B khởi kiện anh Nguyễn Văn T về tranh chấp hợp đồng tín dụng và yêu cầu thực hiện nghĩa vụ trả nợ. Khoản vay được bảo đảm bằng hợp đồng thế chấp quyền sử dụng đất và tài sản gắn liền trên đất của thửa 613, tờ bản đồ 05. Ngân hàng yêu cầu trả cả gốc và lãi, và xử lý tài sản thế chấp nếu không thanh toán. Nguyên đơn sẽ thắng kiện hay bị đơn thắng kiện?"
case_6284,1,0.125,0.25,"[{""law_id"": ""45/2013/QH13"", ""aid"": 56116}, {""law_id"": ""91/2015/QH13"", ""aid"": 52887}, {""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}]","[{""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""45/2013/QH13"", ""aid"": 56050}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""45/2013/QH13"", ""aid"": 56049}, {""law_id"": ""45/2013/QH13"", ""aid"": 56152}, {""law_id"": ""45/2013/QH13"", ""aid"": 56052}, {""law_id"": ""45/2013/QH13"", ""aid"": 56117}]","Ông Trần Quang H kiện ông Bùi Văn T và bà Phạm Thị P về tranh chấp hợp đồng chuyển nhượng quyền sử dụng đất (hợp đồng công chứng số 728A lập ngày 08/12/2011) liên quan hai thửa 599 và 584, tờ bản đồ 9. Ông H yêu cầu tiếp tục thực hiện hợp đồng, giao đất và tài sản trên đất cho ông và bà Trần Thùy L1. Theo bạn, ông H thắng kiện hay bị đơn thắng kiện?"
case_3995,0,0.0,0.0,"[{""law_id"": ""91/2015/QH13"", ""aid"": 52962}, {""law_id"": ""45/2013/QH13"", ""aid"": 56085}]","[{""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""45/2013/QH13"", ""aid"": 56052}, {""law_id"": ""45/2013/QH13"", ""aid"": 56022}, {""law_id"": ""50/2014/QH13"", ""aid"": 56965}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""45/2013/QH13"", ""aid"": 56153}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""45/2013/QH13"", ""aid"": 56152}]","Ông Trần Văn T và bà Đoàn Thị X tranh chấp với ông Nguyễn Văn V và ông Hoàng Gia T về việc các hộ này lấn chiếm diện tích đất rừng tại khu vực Cửa hầm thôn 4L, xã T, huyện H, tỉnh Quảng Bình theo giấy tờ giao/ cấp quyền sử dụng đất. Nguyên đơn yêu cầu bị đơn trả lại phần đất bị lấn chiếm. Agent dự đoán nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_6384,1,0.125,0.2,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""91/2015/QH13"", ""aid"": 52781}, {""law_id"": ""45/2013/QH13"", ""aid"": 56000}, {""law_id"": ""45/2013/QH13"", ""aid"": 56050}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13611}]","[{""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""50/2014/QH13"", ""aid"": 56965}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""52/2014/QH13"", ""aid"": 53875}, {""law_id"": ""45/2013/QH13"", ""aid"": 56052}, {""law_id"": ""45/2013/QH13"", ""aid"": 56056}, {""law_id"": ""45/2013/QH13"", ""aid"": 56050}, {""law_id"": ""45/2013/QH13"", ""aid"": 56012}]","Ông Hoàng Hồng T và ông Hà Văn B tranh chấp quyền sử dụng đất và cây trồng trên đất lâm nghiệp/đồi Ma Thai, diện tích khoảng 10.083m2. Có Giấy chứng nhận quyền sử dụng đất do Nhà nước cấp cho ông T. Ông T yêu cầu được quản lý, sử dụng phần đất tranh chấp và buộc ông B di dời cây hồi, cây sở, cây thông, đồng thời hủy giấy chứng nhận. Agent dự đoán nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_8219,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""91/2015/QH13"", ""aid"": 53241}, {""law_id"": ""91/2015/QH13"", ""aid"": 53127}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13611}]","[{""law_id"": ""92/2015/QH13"", ""aid"": 50882}, {""law_id"": ""92/2015/QH13"", ""aid"": 50857}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""100/2015/QH13"", ""aid"": 56815}, {""law_id"": ""100/2015/QH13"", ""aid"": 56644}, {""law_id"": ""92/2015/QH13"", ""aid"": 51123}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}, {""law_id"": ""100/2015/QH13"", ""aid"": 56661}]","Bà Nguyễn Thị Bé M khởi kiện bà Nguyễn Thị H tranh chấp hợp đồng vay tài sản, liên quan “Giấy mượn tiền” ngày 03/3/2014, gồm tiền 81.000.000 đồng và 05 phân vàng 9999, cùng chi phí sửa chữa nhà 60.000.000 đồng. Nguyên đơn yêu cầu bị đơn hoàn trả 142.800.000 đồng một lần. Theo bạn, nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_2705,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50812}, {""law_id"": ""91/2015/QH13"", ""aid"": 52893}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13647}]","[{""law_id"": ""52/2014/QH13"", ""aid"": 53875}, {""law_id"": ""47/2010/QH12"", ""aid"": 273}, {""law_id"": ""100/2015/QH13"", ""aid"": 56661}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}, {""law_id"": ""93/2015/QH13"", ""aid"": 14498}, {""law_id"": ""26/2008/QH12"", ""aid"": 5286}, {""law_id"": ""37/2015/NĐ-CP"", ""aid"": 4073}, {""law_id"": ""100/2015/QH13"", ""aid"": 56644}]","Ông Nguyễn Hữu B khởi kiện ông Phạm Văn C về tranh chấp hợp đồng dịch vụ ngày 26/7/2013 liên quan đến việc giới thiệu, tuyển dụng và đào tạo con trai ông Đ vào làm tại công ty hàng không. Ông B yêu cầu hủy bỏ giao dịch, buộc ông C hoàn trả 100.000.000 đồng. Agent dự đoán: nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_3263,1,0.125,0.25,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50893}, {""law_id"": ""91/2015/QH13"", ""aid"": 53127}, {""law_id"": ""52/2014/QH13"", ""aid"": 53909}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}]","[{""law_id"": ""100/2015/QH13"", ""aid"": 56725}, {""law_id"": ""100/2015/QH13"", ""aid"": 56815}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""52/2014/QH13"", ""aid"": 53875}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}, {""law_id"": ""92/2015/QH13"", ""aid"": 50882}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""100/2015/QH13"", ""aid"": 56819}]","Bà Huỳnh Hồng T khởi kiện vợ chồng ông Phạm Ngọc H và bà Nguyễn Thị Thúy H về tranh chấp tiền hụi (hụi tháng, hụi ngày, hụi chết) và tiền vay; yêu cầu liên đới thanh toán tổng 1.075.000.000 đồng. Agent dự đoán: nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_9125,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""91/2015/QH13"", ""aid"": 52885}, {""law_id"": ""45/2013/QH13"", ""aid"": 55976}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13611}]","[{""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""45/2013/QH13"", ""aid"": 56049}, {""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}, {""law_id"": ""92/2015/QH13"", ""aid"": 50857}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""45/2013/QH13"", ""aid"": 56050}]","Ông Võ N khởi kiện ông Võ Thanh Q về tranh chấp quyền sử dụng đất 437m2, kèm yêu cầu liên quan giấy chứng nhận quyền sử dụng đất và quyết định cá biệt của cơ quan hành chính. Ông N đề nghị công nhận quyền sử dụng đất, buộc trả lại đất và hủy các văn bản liên quan. Agent dự đoán: nguyên đơn thắng kiện hay bị đơn thắng kiện?"
case_5658,1,0.25,0.13333333333333333,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50695}, {""law_id"": ""92/2015/QH13"", ""aid"": 50700}, {""law_id"": ""92/2015/QH13"", ""aid"": 50809}, {""law_id"": ""92/2015/QH13"", ""aid"": 50812}, {""law_id"": ""92/2015/QH13"", ""aid"": 50892}, {""law_id"": ""92/2015/QH13"", ""aid"": 50893}, {""law_id"": ""92/2015/QH13"", ""aid"": 50936}, {""law_id"": ""92/2015/QH13"", ""aid"": 50938}, {""law_id"": ""91/2015/QH13"", ""aid"": 53062}, {""law_id"": ""91/2015/QH13"", ""aid"": 53112}, {""law_id"": ""91/2015/QH13"", ""aid"": 53233}, {""law_id"": ""91/2015/QH13"", ""aid"": 53236}, {""law_id"": ""91/2015/QH13"", ""aid"": 53238}, {""law_id"": ""47/2010/QH12"", ""aid"": 360}, {""law_id"": ""47/2010/QH12"", ""aid"": 364}]","[{""law_id"": ""47/2010/QH12"", ""aid"": 273}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""47/2010/QH12"", ""aid"": 364}, {""law_id"": ""91/2015/QH13"", ""aid"": 53236}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}, {""law_id"": ""50/2014/QH13"", ""aid"": 57108}, {""law_id"": ""92/2015/QH13"", ""aid"": 50882}, {""law_id"": ""37/2015/NĐ-CP"", ""aid"": 4084}]","Công ty TNHH MTV V (VA*C) với tư cách nguyên đơn tranh chấp hợp đồng tín dụng và nghĩa vụ trả nợ, kèm quyền phát mãi tài sản thế chấp; bị đơn là ông Phạm Hồng S và bà Bùi Thị Thanh T. Nguyên đơn yêu cầu buộc trả toàn bộ nợ gốc, nợ lãi và lãi tiếp tục phát sinh, đồng thời xử lý tài sản bảo đảm. Dự đoán nguyên đơn thắng hay bị đơn thắng?"
case_5045,0,0.0,0.0,"[{""law_id"": ""92/2015/QH13"", ""aid"": 50691}, {""law_id"": ""92/2015/QH13"", ""aid"": 50699}, {""law_id"": ""92/2015/QH13"", ""aid"": 50892}, {""law_id"": ""92/2015/QH13"", ""aid"": 50893}, {""law_id"": ""92/2015/QH13"", ""aid"": 50938}, {""law_id"": ""91/2015/QH13"", ""aid"": 53015}, {""law_id"": ""91/2015/QH13"", ""aid"": 53024}, {""law_id"": ""92/2015/QH13"", ""aid"": 50822}, {""law_id"": ""92/2015/QH13"", ""aid"": 50823}, {""law_id"": ""92/2015/QH13"", ""aid"": 50829}, {""law_id"": ""92/2015/QH13"", ""aid"": 50830}, {""law_id"": ""92/2015/QH13"", ""aid"": 50831}, {""law_id"": ""92/2015/QH13"", ""aid"": 50812}]","[{""law_id"": ""326/2016/UBTVQH14"", ""aid"": 13626}, {""law_id"": ""45/2013/QH13"", ""aid"": 56045}, {""law_id"": ""45/2013/QH13"", ""aid"": 55953}, {""law_id"": ""92/2015/QH13"", ""aid"": 50931}, {""law_id"": ""45/2013/QH13"", ""aid"": 56048}, {""law_id"": ""92/2015/QH13"", ""aid"": 51142}, {""law_id"": ""45/2013/QH13"", ""aid"": 56052}, {""law_id"": ""45/2013/QH13"", ""aid"": 56049}]","Ông bà Tô Thị Mộng L, Huỳnh Thanh T, Tô Duy H, Trần Thị Hồng M tranh chấp với ông Nguyễn Liên H1, bà Lê Thị M1 liên quan lối đi chung 3m x 6,49m (19,47m2) thuộc quyền sử dụng đất và giấy chứng nhận đã cấp. Nguyên đơn yêu cầu trả lại đất lối đi và hủy giấy chứng nhận quyền sử dụng đất. Nguyên đơn thắng kiện hay bị đơn thắng kiện?"
